feed,views,likes,replies,reposts,isReply,isRepost,isQuote,hasImage,hasVideo,verified,textLen,ageMin
forYou,23100,518,102,59,0,0,0,0,0,1,65,1380
forYou,1100,19,3,3,0,0,0,1,0,0,268,720
forYou,11300,304,9,15,0,0,0,1,0,1,80,360
forYou,171300,1556,155,202,0,0,0,0,0,1,148,1200
forYou,800,4,3,0,0,0,0,0,0,1,280,240
forYou,14900,67,10,5,0,0,1,1,1,1,234,1260
forYou,7100,261,82,4,0,0,0,1,0,1,279,960
forYou,4900,18,2,0,0,0,0,1,0,1,142,660
forYou,556300,15835,152,768,0,0,0,0,0,1,280,420
forYou,500,7,2,1,0,0,0,0,0,1,104,120
forYou,92700,924,81,127,0,1,0,1,0,1,187,120
forYou,400,8,5,0,0,0,0,1,0,1,148,900
forYou,1500,110,18,38,0,0,0,0,0,1,175,180
forYou,17500,131,52,5,0,0,0,1,0,1,60,960
forYou,282900,2722,67,162,0,0,0,0,0,1,123,120
forYou,48800,915,47,94,0,0,0,1,1,1,53,240
forYou,100,4,2,0,0,0,0,0,0,1,232,120
forYou,31600,245,22,8,0,0,0,0,0,1,279,660
forYou,2100,65,48,2,0,0,0,1,0,1,125,780
forYou,2021000,22697,484,1513,0,0,0,1,0,1,121,540
forYou,585500,4694,331,518,0,0,0,1,0,1,276,1680
forYou,841600,18187,74,901,0,0,0,1,1,1,0,720
forYou,1300,9,0,0,0,0,0,1,1,1,274,60
forYou,4100,27,8,0,0,0,0,1,0,1,52,120
forYou,1000,34,19,1,0,0,0,0,0,1,75,240
forYou,200,6,1,1,0,0,0,1,0,0,32,360
forYou,1300,7,2,0,0,0,0,1,0,1,221,300
forYou,80800,1137,43,30,0,0,0,0,0,1,177,1080
forYou,3700,40,5,4,0,1,0,1,0,1,270,60
forYou,117700,898,73,69,0,0,0,0,0,1,90,1140
forYou,130600,1348,72,20,0,0,0,1,0,1,84,1320
forYou,1200,17,3,0,0,0,0,1,0,1,280,300
forYou,2200,7,4,0,0,0,1,1,0,1,260,240
forYou,200,8,5,2,0,0,0,1,0,1,128,180
forYou,600,4,1,0,0,0,0,1,0,1,279,540
forYou,11700,170,25,15,0,0,0,0,0,1,78,1020
forYou,10500,115,90,9,0,0,0,0,0,1,276,720
forYou,300,2,0,0,0,0,0,1,0,1,44,360
forYou,14200,215,25,33,0,0,0,1,1,1,205,660
forYou,2800,22,37,1,0,0,0,0,0,1,71,1200
forYou,371300,3530,9,133,0,0,0,1,1,1,73,1080
forYou,200,7,2,0,0,0,0,0,0,1,66,60
forYou,700,12,8,1,0,0,0,1,0,1,18,360
forYou,2100,166,29,49,0,0,0,0,0,1,211,300
forYou,1200,15,5,2,0,0,0,1,0,1,268,780
forYou,553700,13078,112,438,0,0,0,0,0,1,79,1320
forYou,300,12,5,0,0,0,0,1,0,1,77,120
forYou,55900,180,35,5,0,0,0,1,0,1,226,480
forYou,300,11,2,1,0,0,1,1,0,1,161,0
forYou,7000,129,39,1,0,0,0,1,0,1,255,600
forYou,369200,9535,1097,3074,0,0,0,1,0,1,135,480
forYou,62900,179,50,16,0,0,0,0,0,1,54,60
forYou,598600,3099,358,280,0,0,0,1,0,1,279,480
forYou,62500,1147,66,93,0,0,0,1,1,1,259,180
forYou,7700,90,103,5,0,0,0,0,0,1,84,300
forYou,275800,2829,499,806,0,0,0,1,0,1,280,300
forYou,59300,223,43,24,0,0,0,1,1,1,219,240
forYou,654800,12242,151,3453,0,0,0,1,1,1,18,840
forYou,2266200,8585,1204,1205,0,0,0,0,0,1,82,240
forYou,5100,15,2,4,0,0,0,1,0,1,202,720
forYou,2200,13,17,1,0,0,0,0,0,1,27,420
forYou,400,14,1,0,0,0,0,1,1,1,71,540
forYou,100,3,3,0,0,0,0,0,0,1,88,240
forYou,96900,394,20,50,0,0,0,1,1,1,68,1140
forYou,96100,1891,110,179,0,0,0,1,0,1,273,120
forYou,22100,352,3,34,0,0,0,1,1,1,0,780
forYou,10400,80,3,6,0,0,0,1,1,1,11,360
forYou,600,7,0,0,0,0,0,1,1,1,64,60
forYou,300,4,3,0,0,0,0,0,0,1,180,0
forYou,4900,3,0,1,0,0,0,1,0,1,236,180
forYou,1300,10,1,1,0,0,0,1,0,1,29,360
forYou,100,2,0,0,0,0,0,1,0,0,219,360
forYou,1100,3,0,0,0,0,0,1,0,1,307,360
forYou,68900,377,36,68,0,0,0,0,0,1,280,420
forYou,1000,25,0,0,0,0,0,0,0,1,169,420
forYou,1213700,10605,523,1159,0,0,0,1,1,1,187,360
forYou,3601400,13243,953,1314,0,0,0,1,0,1,36,1140
forYou,6900,49,8,11,0,0,0,1,0,1,276,660
following,700,27,7,1,0,0,0,0,0,1,27,60
following,100,4,2,0,0,0,0,0,0,1,130,120
following,100,1,0,0,0,0,0,0,0,1,278,0
following,100,0,1,0,0,0,0,0,0,1,139,0
following,1200,46,9,1,0,0,0,1,0,1,12,540
following,100,1,0,0,0,0,0,0,0,1,74,180
following,100,0,0,0,0,0,0,0,0,1,129,0
following,300,26,12,2,0,0,0,0,0,1,32,300
following,100,1,0,0,0,0,0,0,0,1,22,120
following,600,22,5,0,0,0,0,0,0,1,276,0
following,100,0,0,0,0,0,0,0,0,1,0,0
following,1200,6,3,0,0,0,1,0,0,1,276,360
following,51500,1045,99,142,0,0,0,1,0,1,69,180
following,39600,1022,145,72,0,0,0,0,0,1,111,60
following,100,6,3,0,0,0,0,0,0,1,114,180
following,100,0,0,0,0,0,0,0,0,1,160,180
following,1041900,4668,422,663,0,0,0,1,0,1,17,120
